video_id,lane,feature,value,z_score,mean,std
Speed_finals_Innsbruck_2024_race001_poses,left,eff_vertical_progress_rate,-0.0133683918349778,-4.0343823144234,6.209403432985208e-05,0.003329006728314284
Speed_finals_Innsbruck_2024_race019_poses,right,eff_vertical_progress_rate,0.0147825549478116,4.421877789636003,6.209403432985208e-05,0.003329006728314284
Speed_finals_Innsbruck_2024_race024_poses,right,eff_vertical_progress_rate,0.0105408745316358,3.147719831318007,6.209403432985208e-05,0.003329006728314284
Speed_finals_Villars_2024_race023_poses,right,eff_vertical_progress_rate,0.0125471953524659,3.75039834312926,6.209403432985208e-05,0.003329006728314284
Speed_finals_Zilina_2025_race006_poses,right,eff_vertical_progress_rate,-0.0224225217182385,-6.754151489490661,6.209403432985208e-05,0.003329006728314284
Speed_finals_Zilina_2025_race014_poses,right,eff_vertical_progress_rate,0.0279911992049986,8.389621124259866,6.209403432985208e-05,0.003329006728314284
Speed_finals_Zilina_2025_race045_poses,right,eff_vertical_progress_rate,-0.0196408783085644,-5.918573902333711,6.209403432985208e-05,0.003329006728314284
Speed_finals_Zilina_2025_race048_poses,right,eff_vertical_progress_rate,0.0150674400122269,4.507454385799735,6.209403432985208e-05,0.003329006728314284
Speed_finals_Chamonix_2024_race014_poses,right,freq_foot_frequency_hz,2.711864406779661,4.42690322191365,0.7965924937583239,0.4326437279090569
Speed_finals_Chamonix_2024_race028_poses,left,freq_foot_frequency_hz,2.711864406779661,4.42690322191365,0.7965924937583239,0.4326437279090569
Speed_finals_Seoul_2024_race012_poses,right,freq_foot_frequency_hz,2.5301204819277108,4.006825654326323,0.7965924937583239,0.4326437279090569
Speed_finals_Seoul_2024_race021_poses,right,freq_foot_frequency_hz,2.5324675324675328,4.012250557978955,0.7965924937583239,0.4326437279090569
Speed_finals_Zilina_2025_race009_poses,left,freq_foot_frequency_hz,2.4870466321243523,3.907266023561463,0.7965924937583239,0.4326437279090569
Speed_finals_Zilina_2025_race012_poses,right,freq_foot_frequency_hz,2.2340425531914896,3.3224798297210545,0.7965924937583239,0.4326437279090569
Speed_finals_Zilina_2025_race057_poses,right,freq_foot_frequency_hz,2.6896551724137936,4.3755694501906595,0.7965924937583239,0.4326437279090569
Speed_finals_Zilina_2025_race005_poses,left,freq_foot_movement_amplitude,0.2680178149942844,3.491982499536828,0.07347562628062325,0.055711100711262146
Speed_finals_Zilina_2025_race010_poses,left,freq_foot_movement_amplitude,0.3738495882172941,5.391635744076215,0.07347562628062325,0.055711100711262146
Speed_finals_Zilina_2025_race010_poses,right,freq_foot_movement_amplitude,0.2756055117797867,3.628179714968409,0.07347562628062325,0.055711100711262146
Speed_finals_Zilina_2025_race014_poses,right,freq_foot_movement_amplitude,0.6219415175326339,9.84482238278837,0.07347562628062325,0.055711100711262146
Speed_finals_Zilina_2025_race021_poses,left,freq_foot_movement_amplitude,0.3593581902260864,5.13151885882002,0.07347562628062325,0.055711100711262146
Speed_finals_Zilina_2025_race024_poses,left,freq_foot_movement_amplitude,0.2506432799927853,3.1801140428077583,0.07347562628062325,0.055711100711262146
Speed_finals_Innsbruck_2024_race006_poses,right,freq_hand_frequency_hz,3.267326732673267,4.93706620812985,0.9047244464620456,0.4785437720727206
Speed_finals_Innsbruck_2024_race010_poses,right,freq_hand_frequency_hz,2.7272727272727275,3.808529934297679,0.9047244464620456,0.4785437720727206
Speed_finals_Innsbruck_2024_race027_poses,left,freq_hand_frequency_hz,3.488372093023256,5.3989787295123195,0.9047244464620456,0.4785437720727206
Speed_finals_Innsbruck_2024_race029_poses,right,freq_hand_frequency_hz,2.7272727272727275,3.808529934297679,0.9047244464620456,0.4785437720727206
Speed_finals_Innsbruck_2024_race031_poses,right,freq_hand_frequency_hz,2.926829268292683,4.225537850116151,0.9047244464620456,0.4785437720727206
Speed_finals_Zilina_2025_race065_poses,left,freq_hand_frequency_hz,3.380281690140845,5.173105133008831,0.9047244464620456,0.4785437720727206
Speed_finals_Innsbruck_2024_race001_poses,left,freq_hand_movement_amplitude,0.2312677790055142,3.413161618070803,0.08811219853897403,0.04194222146077424
Speed_finals_Innsbruck_2024_race022_poses,right,freq_hand_movement_amplitude,0.2710371871158891,4.361356699906622,0.08811219853897403,0.04194222146077424
Speed_finals_Villars_2024_race022_poses,left,freq_hand_movement_amplitude,0.2635930740655109,4.1838717505855625,0.08811219853897403,0.04194222146077424
Speed_finals_Zilina_2025_race005_poses,left,freq_hand_movement_amplitude,0.3110289338406314,5.3148528508471236,0.08811219853897403,0.04194222146077424
Speed_finals_Zilina_2025_race014_poses,right,freq_hand_movement_amplitude,0.2198067093878472,3.139903091972328,0.08811219853897403,0.04194222146077424
Speed_finals_Zilina_2025_race021_poses,left,freq_hand_movement_amplitude,0.2321377061408171,3.433902701995423,0.08811219853897403,0.04194222146077424
Speed_finals_Zilina_2025_race045_poses,right,freq_hand_movement_amplitude,0.2654093398108175,4.2271757455111825,0.08811219853897403,0.04194222146077424
Speed_finals_Chamonix_2024_race032_poses,left,freq_movement_regularity,0.0,-3.584182386070837,0.4089598547481612,0.11410129583179048
Speed_finals_Zilina_2025_race037_poses,right,freq_movement_regularity,0.0,-3.584182386070837,0.4089598547481612,0.11410129583179048
Speed_finals_Zilina_2025_race041_poses,right,freq_movement_regularity,0.0,-3.584182386070837,0.4089598547481612,0.11410129583179048
Speed_finals_Zilina_2025_race062_poses,right,freq_movement_regularity,0.0,-3.584182386070837,0.4089598547481612,0.11410129583179048
Speed_finals_Zilina_2025_race063_poses,left,freq_movement_regularity,0.0,-3.584182386070837,0.4089598547481612,0.11410129583179048
Speed_finals_Chamonix_2024_race013_poses,left,post_avg_body_lean,66.79189637833372,3.1366147150422687,3.0694508703597525,20.315675113803465
Speed_finals_Innsbruck_2024_race027_poses,left,post_avg_body_lean,70.1578117807977,3.3022954213741498,3.0694508703597525,20.315675113803465
