,eff_acceleration_variance,eff_com_stability_index,eff_lateral_movement_ratio,eff_movement_smoothness,eff_path_straightness,eff_vertical_progress_rate,freq_foot_frequency_hz,freq_foot_movement_amplitude,freq_hand_frequency_hz,freq_hand_movement_amplitude,freq_limb_sync_ratio,freq_movement_regularity,post_avg_body_lean,post_avg_elbow_angle,post_avg_knee_angle,post_avg_reach_ratio,post_body_lean_std,post_elbow_angle_std,post_hip_width_ratio,post_knee_angle_std,post_max_reach_ratio
freq_movement_regularity,-0.0030682636472290836,0.21022083645836823,0.02428357519013065,0.19602823596912766,0.07698765006409668,-0.01722985816363935,-0.009960469293418442,0.0014004079830119741,-0.18861229896869833,0.28488280762833734,0.40728882429144436,1.0,-0.040631317450325985,-0.0025569495626025516,0.06698928875559178,-0.1834936946051683,-0.164555316010788,0.007777293281922516,0.10623184462857727,0.1336579896950485,-0.0808478521698835
post_avg_body_lean,-0.12439246927571278,-0.18316597173935587,-0.00860306962793897,-0.023180879145417044,0.012825486522495374,-0.03694268505211066,-0.011044231463857787,0.15221006251314598,0.0486604310803013,0.17892716631504654,-0.13402151271489646,-0.040631317450325985,1.0,0.11845390778032046,0.17072898498398537,0.09179505761986724,0.41306873571358166,-0.1327537199803773,-0.19488614883471167,-0.11231073755629058,0.05817704539156933
post_avg_elbow_angle,-0.1357626882719066,0.02149329191951025,0.008771588871492462,0.2157668635700189,0.17691669044820713,0.0051662479930580495,0.03985855403222923,0.14412295491948338,-0.025123803712621236,-0.04488671576339286,0.10752615412324563,-0.0025569495626025516,0.11845390778032046,1.0,0.12637441711829978,0.3237584369344225,0.12032134416403113,-0.6233294618357089,0.04609269703081471,0.1140069674749571,0.05765752121591357
post_avg_knee_angle,-0.04158958896125892,0.085104473069913,-0.031812955753428476,0.023192797121820565,-0.06868531891024905,0.13125814582594006,0.22311501234857142,0.1286431874941311,0.08124124338720626,-0.011470879060827523,0.18208035246074225,0.06698928875559178,0.17072898498398537,0.12637441711829978,1.0,-0.010088370698777051,-0.01761838215278632,0.04556260534340103,-0.12928299973551807,-0.10722587319438633,0.007385904028918299
post_avg_reach_ratio,-0.15041328609743468,-0.19157597691875644,-0.004743876982034675,-0.14206028194885767,-0.021414685014078283,-0.06396117433890937,-0.07131021546769356,0.0816155330985421,-0.08784002299380178,-0.02949002998895687,-0.1466701461821303,-0.1834936946051683,0.09179505761986724,0.3237584369344225,-0.010088370698777051,1.0,0.3900304923409032,-0.26092480764478926,0.038985003609478625,-0.22114006480395731,0.8091681318251469
post_body_lean_std,-0.2509795387340104,-0.4932080071165576,-0.02472314445536864,-0.05672986063836911,-0.11077839195925106,-0.07711035047151535,0.0029650655621308165,0.3843413773158599,0.02026926098454994,0.3022428013321662,-0.12939826131201915,-0.164555316010788,0.41306873571358166,0.12032134416403113,-0.01761838215278632,0.3900304923409032,1.0,-0.0972368351488332,-0.12403796116067023,-0.15564082361269974,0.2817973396867463
post_elbow_angle_std,0.15666481413883238,0.09475182400178427,0.05577645953224933,-0.08687315332278464,-0.1902274715898571,0.11459133397468166,0.02711353966729161,-0.15423856433840405,0.08350250778882545,0.05434780622644129,0.08296960453551144,0.007777293281922516,-0.1327537199803773,-0.6233294618357089,0.04556260534340103,-0.26092480764478926,-0.0972368351488332,1.0,-0.08933167317751485,0.22379291336184168,-0.03152921997517952
post_hip_width_ratio,0.02960326128521789,0.14130281241613038,0.006936336105214879,-0.021439061029689996,-0.1631947948631736,-0.09692709275124402,0.05444757417611795,-0.10608541362024698,-0.02529426345812733,-0.2596420068755576,0.11275142393006855,0.10623184462857727,-0.19488614883471167,0.04609269703081471,-0.12928299973551807,0.038985003609478625,-0.12403796116067023,-0.08933167317751485,1.0,0.055101029742909376,0.03073799064050657
post_knee_angle_std,0.04681764573544817,0.3002521266910873,0.006296667487212457,0.20480259417940794,0.030407861179292284,0.12427075142566218,0.09544253489060098,-0.005377158117823823,0.06905441997147566,-0.19941350946981257,0.2727855549856442,0.1336579896950485,-0.11231073755629058,0.1140069674749571,-0.10722587319438633,-0.22114006480395731,-0.15564082361269974,0.22379291336184168,0.055101029742909376,1.0,-0.07199713136729498
post_max_reach_ratio,-0.09211320177451443,-0.08880383011623771,0.003149572260985912,-0.05714494250541989,-0.07471069391165952,-0.018239346558326677,-0.029145175240377533,0.030778927848698068,-0.013114353187701584,0.012841462120787791,-0.06962922593612345,-0.0808478521698835,0.05817704539156933,0.05765752121591357,0.007385904028918299,0.8091681318251469,0.2817973396867463,-0.03152921997517952,0.03073799064050657,-0.07199713136729498,1.0
